method,features,lags,mas,f1,precision,recall,cm
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_7_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_7_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_8_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_8_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_8_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_8_value')",0.023668639053254437,0.012987012987012988,0.13333333333333333,"[[1100  152]
 [  13    2]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_8_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_8_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_9_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_9_value')",0.023391812865497075,0.01282051282051282,0.13333333333333333,"[[1098  154]
 [  13    2]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_9_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_10_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_10_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_10_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_10_value')",0.024242424242424242,0.013333333333333334,0.13333333333333333,"[[1104  148]
 [  13    2]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_3_value', 'ma_10_value']","('lag_1_value', 'lag_2_value')","('ma_3_value', 'ma_10_value')",0.0759493670886076,0.046875,0.2,"[[1191   61]
 [  12    3]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_4_value', 'ma_5_value']","('lag_1_value', 'lag_2_value')","('ma_4_value', 'ma_5_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_4_value', 'ma_5_value']","('lag_1_value', 'lag_2_value')","('ma_4_value', 'ma_5_value')",0.0375,0.020689655172413793,0.2,"[[1110  142]
 [  12    3]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_4_value', 'ma_5_value']","('lag_1_value', 'lag_2_value')","('ma_4_value', 'ma_5_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_4_value', 'ma_6_value']","('lag_1_value', 'lag_2_value')","('ma_4_value', 'ma_6_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
